EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010488538,MAINE ASSOCIATION OF NONPROFITS,% JOHN E WALKER,30 DANFORTH ST STE 213,PORTLAND,ME,04101-4574,0000,03,3,1000,199607,1,15,995603000,1,01,202412,5,6,01,0,12,905449,1004451,1004451,S50,
010002847,HULLS COVE NEIGHBORHOOD ASSOCIATION,% JOANNE SOUSA,PO BOX 327,MOUNT DESERT,ME,04660-0327,0000,03,3,1000,200007,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,A80,
010021545,MAINE STATE CHAMBER OF COMMERCE,,128 STATE ST STE 101,AUGUSTA,ME,04330-5630,0000,06,3,1000,192110,2,00,205000000,1,01,202506,6,6,01,0,06,1284307,2183769,2132035,,
010214019,OGUNQUIT MEMORIAL LIBRARY,,PO BOX 753,OGUNQUIT,ME,03907-0753,0000,92,3,1000,000000,0,00,000000000,0,12,202312,6,4,00,1,12,1036622,292235,,,
010261396,KALER-VAILL MEMORIAL HOME,% PAROLL MGMT,382 BLACK POINT RD,SCARBOROUGH,ME,04074-8619,0000,03,3,1000,196210,1,02,382000000,1,25,202506,7,5,00,1,06,8170549,779400,,,
010163098,NATIONAL SOCIETY UNITED STATES DAUGHTERS OF 1812,% JENNIE BUTLER,49 CARRIAGE HILL DR,WINDHAM,ME,04062-4927,2347,03,9,2000,197210,1,16,064062908,5,01,202512,0,0,02,0,12,0,0,0,,MAINE STATE SOCIETY
010011694,MASSACHUSETTS MODERATORS ASSOCIATION INC,% JOHN FALLON,PO BOX 1281,HAVERHILL,MA,01831-1781,0000,03,3,2000,202109,1,16,995408229,5,01,202509,3,3,01,0,09,65979,55534,41497,S19,
010116380,MASONIC TRUSTEES OF PORTLAND,% MARLON E WELCH,415 CONGRESS STREET,PORTLAND,ME,04101-3500,0000,02,3,1000,201409,2,00,399000000,1,01,202412,5,4,01,0,12,931378,157644,157644,S47,
